Longitude,Latitude,RSRP(dBm),RSRP(dBm)_after
106.7929351,-6.155009,-79.46,-73.37030000000004
106.79296171,-6.15495785,-77.45,-71.8613
106.7929851,-6.15490848,-76.93,-71.3259
106.79300878,-6.15484952,-77.39,-70.99365
106.79303412,-6.15479588,-73.39,-76.64339
106.793064,-6.1547461,-75.23,-70.59030000000004
106.79309515,-6.15469589,-73.02,-76.44525499999999
106.79312123,-6.1546495,-75.54,-77.913295
106.79314991,-6.1545969,-73.46,-77.71538999999999
106.79317386,-6.15454954,-74.53,-77.02298499999998
106.79319514,-6.1545045,-74.92,-78.14931999999999
106.79321843,-6.1544637,-72.8,-68.45690000000005
106.79323988,-6.15442037,-69.4,-63.7582
106.79325778,-6.15437986,-67.0,-70.69458999999998
106.79327433,-6.15433995,-67.65,-77.57998999999998
106.79329163,-6.15429851,-69.84,-67.8044
106.79330992,-6.15426091,-67.25,-79.02393999999998
106.7933274,-6.15422797,-73.26,-69.51640000000005
106.79335009,-6.15418559,-69.92,-66.65477000000001
106.79337153,-6.15415277,-68.65,-71.80065999999997
106.79339558,-6.15411878,-73.95,-77.63785499999997
106.79342206,-6.15408278,-76.07,-70.05850000000004
106.79344609,-6.15404807,-76.49,-71.21069999999999
106.79347673,-6.15400743,-75.49,-72.97261
106.79350468,-6.15396947,-75.09,-71.77331000000001
106.79352675,-6.15393302,-75.57,-78.77325499999999
106.7935505,-6.15389535,-75.19,-69.65059999999997
106.79357539,-6.1538614,-74.58,-70.35220000000002
106.79359757,-6.1538295,-76.43,-71.16130000000001
106.79361856,-6.15380449,-78.18,-72.5556
106.79364007,-6.15378384,-78.9,-73.32509999999998
106.79365972,-6.15376951,-79.46,-73.47940000000001
106.7936776,-6.15375772,-80.16,-73.79350000000004
106.79369324,-6.15374592,-80.29,-73.5964
106.79370869,-6.15373646,-79.77,-75.773365
106.79371903,-6.15372522,-78.07,-72.00340000000006
106.79371826,-6.15371628,-76.11,-80.525665
106.79371678,-6.1537097,-76.29,-70.89810000000001
106.79371669,-6.15370911,-76.94,-71.44684000000001
106.79372014,-6.15370937,-75.21,-79.14264499999999
106.79372014,-6.15370937,-76.19,-78.80062499999998
106.79372014,-6.15370937,-76.4,-78.91088999999998
106.79372014,-6.15370937,-75.58,-69.11739999999995
106.79372014,-6.15370937,-75.21,-69.95869999999998
106.79372014,-6.15370937,-75.15,-74.06227
106.79372014,-6.15370937,-74.58,-71.42080000000001
106.79372014,-6.15370937,-73.92,-69.45610000000003
106.79372014,-6.15370937,-74.22,-71.17784000000003
106.79372014,-6.15370937,-74.96,-71.27020000000002
106.79143187,-6.15824206,-87.56,-83.63610999999996
106.7914697,-6.15816354,-84.19,-78.26350000000004
106.79150273,-6.15809616,-79.68,-72.72070000000002
106.79154321,-6.158018,-83.17,-83.83481500000002
106.79158456,-6.15793574,-87.12,-78.8911
106.79162247,-6.15785895,-93.16,-91.20023
106.7916613,-6.15777769,-99.07,-88.56839999999998
106.79170129,-6.15769663,-101.9,-90.998
106.79174576,-6.15760892,-103.2,-91.53050000000002
106.7917879,-6.15753135,-103.75,-91.7066
106.7918343,-6.1574375,-101.88,-91.4229
106.7918777,-6.15735068,-96.85,-85.69579999999999
106.79192385,-6.15725885,-97.58,-85.92109999999998
106.79196949,-6.15716679,-97.99,-86.20840000000001
106.79202012,-6.15706706,-100.27,-88.80760000000001
106.7920595,-6.15698847,-98.42,-87.6441
106.79211655,-6.1568728,-98.66,-87.50990000000003
106.79216204,-6.15677239,-101.12,-90.76030499999996
106.79220954,-6.15667391,-104.14,-92.41129999999995
106.7922483,-6.15658383,-106.21,-94.41089999999998
106.79229024,-6.15648355,-109.22,-95.1936
106.79232969,-6.15638965,-109.94,-95.693
106.79236881,-6.15629684,-109.24,-96.4496
106.79240848,-6.15620204,-108.92,-95.9683
106.79244418,-6.15611997,-107.06,-95.8878
106.7924784,-6.15603411,-105.52,-93.7085
106.79251425,-6.15594897,-107.36,-94.9298
106.79254823,-6.15587075,-101.11,-90.00170000000001
106.79258423,-6.15578948,-106.95,-95.1153
106.79261178,-6.15572536,-102.83,-92.4923
106.79264527,-6.15564737,-99.51,-87.3366
106.79267216,-6.15558396,-100.45,-89.19530499999999
106.79269865,-6.15552635,-98.41,-86.9835
106.79272522,-6.1554633,-95.79,-92.6993
106.79274829,-6.15540776,-94.65,-91.5557
106.79277169,-6.15535392,-94.51,-91.29429999999998
106.79279385,-6.15530565,-91.47,-88.24959999999999
106.79281537,-6.15525682,-93.67,-90.525
106.79283472,-6.1552106,-91.89,-89.47909999999999
106.79285035,-6.15516971,-85.93,-79.5265
106.79286572,-6.1551335,-84.82,-78.73100000000002
106.79287917,-6.1550953,-89.74,-80.06953500000002
106.79289422,-6.15505542,-92.01,-84.89840000000001
106.79290766,-6.15502433,-91.61,-81.67090000000002
106.7929226,-6.1549919,-87.68,-79.15010000000002
106.79293774,-6.15496254,-87.07,-81.74810000000001
106.79295314,-6.15492953,-86.52,-79.7628
106.79296286,-6.15490324,-82.33,-78.14620000000004
106.79306919,-6.15475619,-73.88,-69.43130000000001
106.79306919,-6.15475619,-75.31,-69.1749
106.79306919,-6.15475619,-78.76,-73.1762
106.79306919,-6.15475619,-79.57,-77.79067999999998
106.79306919,-6.15475619,-79.51,-78.50019500000003
106.79306919,-6.15475619,-78.92,-77.48411500000002
106.79306919,-6.15475619,-80.83,-78.27485000000001
106.79306919,-6.15475619,-80.59,-80.0122
106.79306919,-6.15475619,-78.9,-78.36303999999998
106.79306919,-6.15475619,-79.89,-72.94120000000002
106.79306919,-6.15475619,-74.1,-77.36795
106.79306919,-6.15475619,-74.11,-78.13850000000001
106.79306919,-6.15475619,-71.84,-68.86100000000002
106.79306919,-6.15475619,-71.42,-68.32154999999999
106.79306919,-6.15475619,-70.85,-68.60147000000002
106.79306919,-6.15475619,-72.45,-69.15027
106.79306919,-6.15475619,-70.06,-63.9789
106.79306919,-6.15475619,-70.51,-69.721
106.79306919,-6.15475619,-71.75,-76.30176
106.79306919,-6.15475619,-72.55,-76.48176500000001
106.79306919,-6.15475619,-72.26,-77.48526000000001
106.79306919,-6.15475619,-72.81,-77.01916000000001
106.79306919,-6.15475619,-74.46,-77.72686
106.79306919,-6.15475619,-75.97,-78.35376
106.79306919,-6.15475619,-76.93,-72.0284
106.79306919,-6.15475619,-76.39,-71.52170000000004
106.79306919,-6.15475619,-76.58,-70.6981
106.79306919,-6.15475619,-77.2,-77.67350999999998
