Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09139023,-6.39163516,-91.53,7.5,36676.5,902.07
107.09136888,-6.391624,-83.89,11.75,26120.79,602.18
107.09134723,-6.39161316,-81.71,9.75,45387.63,1769.32
107.09132647,-6.39160405,-88.23,5.67,12774.83,873.87
107.09131033,-6.39159915,-95.19,5.75,23181.44,206.43
107.09129056,-6.3915973,-98.51,4.0,19053.57,1684.93
107.09127373,-6.3915974,-96.97,5.25,27478.58,2828.2
107.0912564,-6.39159973,-98.05,9.5,28823.42,2767.63
107.09123751,-6.39160206,-95.81,13.0,32157.37,1397.7
107.09121485,-6.39160414,-105.48,4.5,54302.91,3401.11
107.09118597,-6.39160817,-109.44,0.67,37232.46,3247.6
107.09115469,-6.39161039,-104.49,2.5,9937.12,1184.13
107.09112536,-6.39161254,-98.69,-3.0,10938.79,1090.43
107.09110227,-6.39161412,-103.94,0.25,84.68,798.78
107.09107814,-6.39161611,-105.32,1.25,6969.51,2989.78
107.09105101,-6.39161772,-104.22,4.75,12800.58,5160.81
107.09102839,-6.39161913,-98.04,12.0,10595.0,9405.2
107.0910257,-6.3916193,-96.69,10.67,13706.99,8134.2
107.0910257,-6.3916193,-95.71,10.5,7063.18,10832.42
107.0910257,-6.3916193,-93.2,11.75,9199.5,14026.31
107.0910257,-6.3916193,-99.17,6.5,6334.78,15929.72
107.0910257,-6.3916193,-98.55,12.75,25094.19,15143.75
107.0910257,-6.3916193,-92.89,13.5,10161.52,12505.16
107.0910257,-6.3916193,-90.21,17.25,31063.48,7812.2
107.0910257,-6.3916193,-93.52,14.75,13641.06,17417.63
107.0910257,-6.3916193,-93.87,16.33,27206.55,14673.69
107.0910257,-6.3916193,-92.12,13.25,56820.22,11699.26
107.0910257,-6.3916193,-92.35,14.5,50000.86,10963.71
107.09066413,-6.39179639,-92.88,10.0,68914.33,10706.87
107.0905184,-6.3919402,-92.9,2.75,47857.8,10788.11
107.09049006,-6.39200361,-95.14,-1.5,23671.04,4430.43
107.09047871,-6.3919966,-100.37,-6.25,27130.47,17766.42
107.09046503,-6.39201033,-103.31,-11.0,10417.8,1335.76
107.09045268,-6.39202859,-103.15,-14.25,2954.06,5193.01
107.09044172,-6.39204648,-103.32,-9.75,2630.27,7961.19
107.0904328,-6.39205781,-104.88,-9.5,6172.2,801.75
107.09042645,-6.39205853,-102.38,-7.0,8510.02,998.44
107.0904254,-6.39205828,-99.44,0.75,12507.95,11201.0
107.0904254,-6.39205828,-100.06,1.5,16412.81,214.07
107.0904254,-6.39205828,-100.94,4.25,7897.55,3405.1
107.0904254,-6.39205828,-100.91,4.33,22.38,1.15
107.09042981,-6.39205151,-100.94,4.5,11.23,0.51
107.09042649,-6.39205661,-97.67,4.0,15349.041032448376,10951.381842019011
107.09042649,-6.39205661,-83.12,-2.67,15349.041032448376,10951.381842019011
107.09340672,-6.38929199,-87.49,-4.25,15349.041032448376,10951.381842019011
107.09340677,-6.38926847,-92.86,1.25,15349.041032448376,10951.381842019011
107.09340297,-6.38924134,-90.81,0.75,15349.041032448376,10951.381842019011
107.09339896,-6.3892194,-97.13,-4.25,15349.041032448376,10951.381842019011
107.09339473,-6.38919199,-98.38,-7.5,15349.041032448376,10951.381842019011
107.09339277,-6.38917547,-98.78,-8.67,2996.36,169.8
107.09338994,-6.38915508,-99.03,-7.5,8790.45,3446.0
107.09338615,-6.38913111,-98.04,-6.5,10240.06,8724.82
107.09338317,-6.38911315,-93.08,-0.75,7367.57,5193.23
107.0933814,-6.38909537,-93.76,-2.5,4236.63,5365.44
107.09337985,-6.38907354,-89.11,-3.75,8987.82,6495.2
107.0933789,-6.38905433,-88.7,-5.25,10122.5,3441.87
107.09337848,-6.38903648,-90.71,-3.75,3701.6,521.15
107.09337815,-6.3890054,-85.61,0.33,7385.22,2634.34
107.09337965,-6.38897187,-83.35,1.5,7913.95,1919.17
107.09338329,-6.38894377,-89.51,-3.0,6587.82,2297.87
107.0933868,-6.38892125,-95.49,-4.75,7991.17,2663.9
107.09339068,-6.38889394,-98.74,-6.25,6859.86,3407.84
107.09339291,-6.38887541,-97.95,-5.0,4325.43,182.23
107.09339324,-6.38886708,-96.72,-4.25,1944.46,1699.17
107.09339325,-6.38886464,-94.31,-2.5,132.02,6.69
107.09339325,-6.38886464,-93.95,-7.33,11430.65,167.61
107.09339325,-6.38886464,-94.51,-8.25,5321.45,143.62
107.09339325,-6.38886464,-95.09,-9.0,4515.25,2422.69
107.09339325,-6.38886464,-97.97,-8.5,7122.58,4935.76
107.09339325,-6.38886464,-98.32,-8.75,9208.22,4184.95
107.09339325,-6.38886464,-96.84,-8.25,9925.18,3666.0
107.09339325,-6.38886464,-96.84,-7.67,6882.57,4674.38
107.09339325,-6.38886464,-97.88,-7.75,5882.38,3991.22
107.09339325,-6.38886464,-97.16,-6.5,2526.91,7331.11
107.09339325,-6.38886464,-96.85,-6.25,4612.04,4904.01
107.09339325,-6.38886464,-98.04,-8.0,3118.5,11765.79
107.09339325,-6.38886464,-98.23,-11.0,4945.94,8527.3
107.09339325,-6.38886464,-95.85,-5.5,3677.97,13363.14
107.09339325,-6.38886464,-99.76,-7.0,4462.53,20620.62
107.09339325,-6.38886464,-101.2,-5.5,3475.97,8936.3
107.09339325,-6.38886464,-100.11,-7.0,2749.8,8468.31
107.09339325,-6.38886464,-99.82,-5.75,1020.41,3543.82
107.09339325,-6.38886464,-97.97,-10.5,3808.0,1887.55
107.09339325,-6.38886464,-98.15,-7.5,670.75,1543.13
107.09339325,-6.38886464,-95.93,-9.25,7504.16,18607.84
107.09339148,-6.38886228,-93.85,-3.75,7943.24,15024.02
107.09338665,-6.38885545,-95.07,-3.67,6461.33,5484.48
107.09338059,-6.38884785,-91.59,-9.25,8977.3,17913.36
107.09337099,-6.38884203,-84.56,-17.0,7171.51,9632.32
107.09335752,-6.38884102,-88.05,-17.5,2928.78,2400.54
107.09334296,-6.3888418,-87.22,-6.0,3114.43,19932.77
